41.216.186.87 - - [01/Apr/2019:00:05:52 +0800] "-" 400 -
1.85.217.93 - - [01/Apr/2019:17:06:11 +0800] "GET /ssmdm/images/logo2.png HTTP/1.1" 200 33740
1.85.217.93 - - [01/Apr/2019:17:06:12 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/easyui.css HTTP/1.1" 200 66948
1.85.217.93 - - [01/Apr/2019:17:06:13 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/jquery.min.js HTTP/1.1" 200 95957
1.85.217.93 - - [01/Apr/2019:17:06:15 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/jquery.easyui.min.js HTTP/1.1" 200 424333
1.85.217.93 - - [01/Apr/2019:17:06:15 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
1.85.217.93 - - [01/Apr/2019:17:06:15 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/blank.gif HTTP/1.1" 200 43
1.85.217.93 - - [01/Apr/2019:17:06:15 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
1.85.217.93 - - [01/Apr/2019:17:06:15 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/panel_tools.png HTTP/1.1" 200 852
1.85.217.93 - - [01/Apr/2019:17:06:15 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
1.85.217.93 - - [01/Apr/2019:17:06:20 +0800] "GET /ssmdm/teachertoReadDoc HTTP/1.1" 200 844
1.85.217.93 - - [01/Apr/2019:17:06:20 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/icon.css HTTP/1.1" 200 2508
1.85.217.93 - - [01/Apr/2019:17:06:20 +0800] "GET /ssmdm/js/TeacherReadDoc.js HTTP/1.1" 200 4274
1.85.217.93 - - [01/Apr/2019:17:06:20 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/easyui.css HTTP/1.1" 200 66948
1.85.217.93 - - [01/Apr/2019:17:06:20 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/pagination_icons.png HTTP/1.1" 200 628
1.85.217.93 - - [01/Apr/2019:17:06:21 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/loading.gif HTTP/1.1" 200 1737
1.85.217.93 - - [01/Apr/2019:17:06:21 +0800] "POST /ssmdm/Teacher/QuerryAllDoc HTTP/1.1" 200 816
1.85.217.93 - - [01/Apr/2019:17:06:21 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/icons/man.png HTTP/1.1" 200 244
175.100.106.202 - - [01/Apr/2019:17:15:11 +0800] "GET / HTTP/1.1" 200 11418
1.85.217.93 - - [01/Apr/2019:17:20:42 +0800] "GET /ssmdm/teachertoReadAdvice HTTP/1.1" 200 2212
1.85.217.93 - - [01/Apr/2019:17:20:43 +0800] "POST /ssmdm/Teacher/QuerryAllAdvice HTTP/1.1" 200 32
1.85.217.93 - - [01/Apr/2019:17:20:48 +0800] "GET /ssmdm/teachertoUploadAdvice HTTP/1.1" 200 2140
1.85.217.93 - - [01/Apr/2019:17:20:48 +0800] "POST /ssmdm/Teacher/QuerryDocNoPass HTTP/1.1" 200 250
45.32.111.160 - - [01/Apr/2019:19:14:09 +0800] "CONNECT api.ipify.org:443 HTTP/1.0" 400 -
78.187.31.85 - - [01/Apr/2019:19:36:53 +0800] "GET / HTTP/1.1" 200 11418
187.102.61.149 - - [01/Apr/2019:20:05:13 +0800] "GET / HTTP/1.1" 200 11418
103.96.51.136 - - [01/Apr/2019:21:25:46 +0800] "GET / HTTP/1.1" 200 11418
185.173.35.53 - - [01/Apr/2019:22:20:40 +0800] "GET / HTTP/1.0" 200 11398
178.94.2.99 - - [01/Apr/2019:23:51:41 +0800] "GET / HTTP/1.1" 200 11418
94.183.194.154 - - [01/Apr/2019:23:54:27 +0800] "GET / HTTP/1.1" 200 11418
